index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2014-01-02,0,20140102,11080.0,11095.0,11095.0,11015.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15.0,0.135379,1.001354,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-03,1,20140103,11020.0,11070.0,11085.0,10980.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50.0,0.453721,1.004537,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-06,2,20140106,11050.0,11050.0,11085.0,11000.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0,0.0,1.0,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-07,3,20140107,11060.0,10945.0,11060.0,10915.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-115.0,-1.039783,0.989602,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-08,4,20140108,10960.0,10960.0,10990.0,10880.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0,0.0,1.0,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-09,5,20140109,10930.0,11130.0,11375.0,10905.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200.0,1.829826,1.018298,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-10,6,20140110,11100.0,10965.0,11125.0,10945.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-135.0,-1.216216,0.987838,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-13,7,20140113,10975.0,10860.0,10995.0,10860.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-115.0,-1.047836,0.989522,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-14,8,20140114,10845.0,10990.0,10990.0,10840.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,145.0,1.337022,1.01337,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-15,9,20140115,10990.0,11030.0,11045.0,10945.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40.0,0.363967,1.00364,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-16,10,20140116,11060.0,11050.0,11095.0,11020.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-10.0,-0.090416,0.999096,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-17,11,20140117,11040.0,11060.0,11080.0,10950.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.0,0.181159,1.001812,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.2464277027087236,0.0,1.0
2014-01-20,12,20140120,11055.0,11110.0,11145.0,11050.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,55.0,0.497512,1.004975,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.3151628538310198,0.0,1.0
2014-01-21,13,20140121,11100.0,10950.0,11110.0,10935.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-150.0,-1.351351,0.986486,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.3876808071735987,0.0,1.0
2014-01-22,14,20140122,10955.0,10940.0,10980.0,10880.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-15.0,-0.136924,0.998631,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.452008082671358,0.0,1.0
2014-01-23,15,20140123,10955.0,10995.0,10995.0,10925.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40.0,0.36513,1.003651,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.3660656863674647,0.0,1.0
2014-01-24,16,20140124,10980.0,10955.0,11025.0,10950.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-25.0,-0.227687,0.997723,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.4214555585619748,0.0,1.0
2014-01-27,17,20140127,10935.0,10975.0,10975.0,10900.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40.0,0.365798,1.003658,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.4751519637729729,0.0,1.0
2014-01-28,18,20140128,10955.0,10990.0,11010.0,10945.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,35.0,0.319489,1.003195,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.5162621042706608,0.0,1.0
2014-01-29,19,20140129,10990.0,11045.0,11045.0,10970.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,55.0,0.500455,1.005005,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.5704566347114268,0.0,1.0
2014-01-30,20,20140130,11035.0,10955.0,11070.0,10935.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-80.0,-0.724966,0.99275,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.6205900387181171,0.0,1.0
2014-02-07,21,20140207,10965.0,10935.0,11005.0,10920.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-30.0,-0.273598,0.997264,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.6948333680493437,0.0,1.0
2014-02-10,22,20140210,10955.0,10835.0,10965.0,10795.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-120.0,-1.09539,0.989046,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.687696510351247,0.0,1.0
2014-02-11,23,20140211,10835.0,10745.0,10860.0,10730.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-90.0,-0.830641,0.991694,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.7557663221403144,0.0,1.0
2014-02-12,24,20140212,10765.0,10765.0,10805.0,10730.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0,0.0,1.0,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.6580401043303912,0.0,1.0
2014-02-13,25,20140213,10735.0,10705.0,10770.0,10690.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-30.0,-0.27946,0.997205,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.679173803070473,0.0,1.0
2014-02-14,26,20140214,10700.0,10635.0,10700.0,10630.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-65.0,-0.607477,0.993925,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.7343549207520657,0.0,1.0
2014-02-17,27,20140217,10605.0,10655.0,10775.0,10590.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50.0,0.471476,1.004715,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.787141695826311,0.0,1.0
2014-02-18,28,20140218,10650.0,10510.0,10665.0,10495.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-140.0,-1.314554,0.986854,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.7729137935458816,0.0,1.0
2014-02-19,29,20140219,10570.0,10600.0,10615.0,10505.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30.0,0.283822,1.002838,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.784891052407227,0.0,1.0
2014-02-20,30,20140220,10625.0,10710.0,10710.0,10615.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,85.0,0.8,1.008,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.7925272030992105,0.0,1.0
2014-02-21,31,20140221,10725.0,10745.0,10785.0,10680.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.0,0.18648,1.001865,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.7916524399178184,0.0,1.0
2014-02-24,32,20140224,10745.0,10775.0,10780.0,10635.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30.0,0.2792,1.002792,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.7332549283527638,0.0,1.0
2014-02-25,33,20140225,10795.0,10825.0,10875.0,10765.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30.0,0.277906,1.002779,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.779416767265183,0.0,1.0
2014-02-26,34,20140226,10800.0,10785.0,10845.0,10745.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-15.0,-0.138889,0.998611,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.8087958584842887,0.0,1.0
2014-02-27,35,20140227,10785.0,10825.0,10825.0,10720.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40.0,0.370885,1.003709,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.859662630185296,0.0,1.0
2014-02-28,36,20140228,10835.0,10765.0,10840.0,10745.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-70.0,-0.646054,0.993539,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,1.9066785230026395,0.0,1.0
