index,Unnamed: 0,tr_date,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price,leverage_factor,leveraged_returns,leveraged_nav
2014-01-02,0,20140102,912.0,907.0,912.0,899.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-5.0,-0.548246,0.994518,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,,0.0,1.0
2014-01-03,1,20140103,904.0,902.0,905.0,887.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2.0,-0.221239,0.997788,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,8.0,0.0,1.0
2014-01-06,2,20140106,899.0,893.0,899.0,888.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-6.0,-0.667408,0.993326,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,8.0,0.0,1.0
2014-01-07,3,20140107,892.0,896.0,899.0,887.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.0,0.44843,1.004484,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,8.0,0.0,1.0
2014-01-08,4,20140108,894.0,892.0,897.0,884.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2.0,-0.223714,0.997763,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,8.0,0.0,1.0
2014-01-09,5,20140109,892.0,888.0,899.0,884.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4.0,-0.44843,0.995516,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,8.0,0.0,1.0
2014-01-10,6,20140110,885.0,881.0,886.0,870.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4.0,-0.451977,0.99548,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,8.0,0.0,1.0
2014-01-13,7,20140113,878.0,871.0,880.0,868.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-7.0,-0.797267,0.992027,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,8.0,0.0,1.0
2014-01-14,8,20140114,874.0,880.0,881.0,866.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.0,0.686499,1.006865,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,8.0,0.0,1.0
2014-01-15,9,20140115,880.0,879.0,882.0,875.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1.0,-0.113636,0.998864,,,1.0,,0,0,0,0,0,0.0,0.0,,False,0.0,0.0,8.0,0.0,1.0
